Question,Ground Truth Answer,LLM Answer,Match,Relevant Documents,Non-Relevant Documents
When was the composer of song Hot Time In The Town Of Berlin born?,"November 7, 1916","[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: When was the composer of song Hot Time In The Town Of Berlin born?
Context: "" A Hot Time in the Old Town"", also titled as"" There ’ll Be a Hot Time in the Old Town Tonight"", is an American popular song, copyrighted and perhaps composed in 1896 by Theodore August Metz with lyrics by Joe Hayden. Metz was the band leader of the McIntyre and Heath Minstrels.
Theodore August Metz( March 14, 1848 – January 12, 1936) was a German- born American bandleader and composer, best known for writing"" There'll Be a Hot Time in the Old Town Tonight"".
Answer: [/INST]  Based on the information provided in the context, the composer of the song ""Hot Time In The Town Of Berlin"" was born on March 14, 1848. Therefore, the answer to the question is:

Theodore August Metz was born on March 14, 1848.",False,""" A Hot Time in the Old Town"", also titled as"" There ’ll Be a Hot Time in the Old Town Tonight"", is an American popular song, copyrighted and perhaps composed in 1896 by Theodore August Metz with lyrics by Joe Hayden. Metz was the band leader of the McIntyre and Heath Minstrels.
Theodore August Metz( March 14, 1848 – January 12, 1936) was a German- born American bandleader and composer, best known for writing"" There'll Be a Hot Time in the Old Town Tonight"".",
"Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?",She Wore A Yellow Ribbon,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?
Context: She Wore a Yellow Ribbon is a 1949 Technicolor Western film directed by John Ford and starring John Wayne. The Oscar- winning film was the second of Ford's Cavalry trilogy films, along with"" Fort Apache""( 1948) and"" Rio Grande""( 1950). With a budget of$ 1.6 million, the film was one of the most expensive Westerns made up to that time. It was a major hit for RKO. The film takes its name from"" She Wore a Yellow Ribbon"", a popular US military song that is used to keep marching cadence. The film was shot on location in Monument Valley utilizing large areas of the Navajo reservation along the Arizona- Utah state border. Ford and cinematographer Winton Hoch based much of the film's imagery on the paintings and sculptures of Frederic Remington. The film won the Academy Award for Best Cinematography, Color in 1950. It was also nominated as 1950's Best Written American Western( which the Writers Guild of America awarded to"" Yellow Sky"").
She Wore a Yellow Ribbon is a 1949 Technicolor Western film directed by John Ford and starring John Wayne. The Oscar-winning film was the second of Ford's Cavalry trilogy films, along with ""Fort Apache"" (1948) and ""Rio Grande"" (1950). With a budget of $1.6 million, the film was one of the most expensive Westerns made up to that time. It was a major hit for RKO. The film takes its name from ""She Wore a Yellow Ribbon"", a popular US military song that is used to keep marching cadence.
Answer: [/INST]  Based on the information provided in the context, the film ""She Wore a Yellow Ribbon"" was released before ""Repeated Absences"".

The context states that ""She Wore a Yellow Ribbon"" is a 1949 Technicolor Western film directed by John Ford and starring John Wayne, which was released after the release of ""Fort Apache"" in 1948 and before the release of ""Rio Grande"" in 1950.

Therefore, the answer to the question is:

She Wore a Yellow Ribbon (1949)",True,"She Wore a Yellow Ribbon is a 1949 Technicolor Western film directed by John Ford and starring John Wayne. The Oscar-winning film was the second of Ford's Cavalry trilogy films, along with ""Fort Apache"" (1948) and ""Rio Grande"" (1950). With a budget of $1.6 million, the film was one of the most expensive Westerns made up to that time. It was a major hit for RKO. The film takes its name from ""She Wore a Yellow Ribbon"", a popular US military song that is used to keep marching cadence.
She Wore a Yellow Ribbon is a 1949 Technicolor Western film directed by John Ford and starring John Wayne. The Oscar- winning film was the second of Ford's Cavalry trilogy films, along with"" Fort Apache""( 1948) and"" Rio Grande""( 1950). With a budget of$ 1.6 million, the film was one of the most expensive Westerns made up to that time. It was a major hit for RKO. The film takes its name from"" She Wore a Yellow Ribbon"", a popular US military song that is used to keep marching cadence. The film was shot on location in Monument Valley utilizing large areas of the Navajo reservation along the Arizona- Utah state border. Ford and cinematographer Winton Hoch based much of the film's imagery on the paintings and sculptures of Frederic Remington. The film won the Academy Award for Best Cinematography, Color in 1950. It was also nominated as 1950's Best Written American Western( which the Writers Guild of America awarded to"" Yellow Sky"").",
Where was the director of film Naked Violence (Film) born?,San Ferdinando di Puglia,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Where was the director of film Naked Violence (Film) born?
Context: Peter Levin is an American director of film, television and theatre.
Ian Barry is an Australian director of film and TV.
Answer: [/INST]  Based on the information provided in the context, the director of the film ""Naked Violence"" is Peter Levin, who is an American director. Therefore, the answer to the question is:

Final Answer: Peter Levin was born in the United States.",False,"Peter Levin is an American director of film, television and theatre.
Ian Barry is an Australian director of film and TV.",
"Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?",Captain Kidd And The Slave Girl,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?
Context: Captain Kidd and the Slave Girl is a 1954 Action-adventure film about a woman who disguises herself as a slave girl in order to try to gain information from Captain Kidd about his hidden treasure. The film was directed by Lew Landers, and stars Anthony Dexter, Eva Gabor, and Alan Hale Jr..
Captain Kidd and the Slave Girl is a 1954 Action- adventure film about a woman who disguises herself as a slave girl in order to try to gain information from Captain Kidd about his hidden treasure. The film was directed by Lew Landers, and stars Anthony Dexter, Eva Gabor, and Alan Hale Jr..
Answer: [/INST]  Based on the information provided in the context, the director who died earlier is Lew Landers. Therefore, the answer is:

Final Answer: Lew Landers",True,"Captain Kidd and the Slave Girl is a 1954 Action- adventure film about a woman who disguises herself as a slave girl in order to try to gain information from Captain Kidd about his hidden treasure. The film was directed by Lew Landers, and stars Anthony Dexter, Eva Gabor, and Alan Hale Jr..
Captain Kidd and the Slave Girl is a 1954 Action-adventure film about a woman who disguises herself as a slave girl in order to try to gain information from Captain Kidd about his hidden treasure. The film was directed by Lew Landers, and stars Anthony Dexter, Eva Gabor, and Alan Hale Jr..",
What nationality is the director of film Fúlmine?,Spanish,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: What nationality is the director of film Fúlmine?
Context: Fúlmine is a 1949 Argentine film directed by Luis Bayón Herrera. It is based in the Guillermo Divito's comic strip ""Fúlmine"" character.
Fuga is a 2006 Chilean- Argentine drama film directed by Pablo Larraín. It is Larraín's directing debut.
Answer: [/INST]  Based on the information provided in the context, the director of the film ""Fúlmine"" is Luis Bayón Herrera, who is Argentine. Therefore, the answer is:

Final Answer: Argentine",False,"Fúlmine is a 1949 Argentine film directed by Luis Bayón Herrera. It is based in the Guillermo Divito's comic strip ""Fúlmine"" character.
Fuga is a 2006 Chilean- Argentine drama film directed by Pablo Larraín. It is Larraín's directing debut.",
Where was the place of death of Suzanne Farrington's mother?,London,,False,"Suzanne Farrington( née Holman; 12 October 1933 – 1 March 2015) was a British actress. She was the only child of Vivien Leigh and her first husband, Herbert Leigh Holman. Upon her mother's death, Farrington was bequeathed her mother's papers, including her letters, photographs, contracts and diaries.
Suzanne Farrington (née Holman; 12 October 1933 – 1 March 2015) was a British actress. She was the only child of Vivien Leigh and her first husband, Herbert Leigh Holman. Upon her mother's death, Farrington was bequeathed her mother's papers, including her letters, photographs, contracts and diaries.",
"Which film was released more recently, Torrente 2: Misión En Marbella or The Heart Of New York (Film)?",Torrente 2: Misión En Marbella,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film was released more recently, Torrente 2: Misión En Marbella or The Heart Of New York (Film)?
Context: Misión extravagante a.k.a. Misión en Buenos Aires is a 1954 Argentine film released on December 2, 1954.
Torrente 2: Misión en Marbella is a 2001 Spanish dark comedy. The film is the sequel to Torrente, el brazo tonto de la ley, and, like the first film, it was written and directed by Santiago Segura who takes the leading role of José Luis Torrente.
Answer: [/INST]  Based on the information provided in the context, the film released more recently is Torrente 2: Misión en Marbella. The release date of Torrente 2 is 2001, while the release date of Misión extravagante (Misión en Buenos Aires) is 1954. Therefore, Torrente 2 is the more recent film.

Final Answer: Torrente 2: Misión en Marbella",True,"Misión extravagante a.k.a. Misión en Buenos Aires is a 1954 Argentine film released on December 2, 1954.
Torrente 2: Misión en Marbella is a 2001 Spanish dark comedy. The film is the sequel to Torrente, el brazo tonto de la ley, and, like the first film, it was written and directed by Santiago Segura who takes the leading role of José Luis Torrente.",
Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?,yes,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?
Context: Ready is an Indian 2011 Hindi-language action comedy film directed by Anees Bazmee. It stars Salman Khan and Asin, with Paresh Rawal, Mahesh Manjrekar, Arya Babbar, Sharat Saxena, Nikitin Dheer, Manoj Joshi, Manoj Pahwa among others playing supporting roles. Ajay Devgn, Zareen Khan, Sanjay Dutt, Arbaaz Khan, Chunky Pandey and Kangana Ranaut make cameo appearances in the film. The film is an adaptation of the 2008 film made with the same name and was narrated by Salman Khan. Principal photography of ""Ready"" began on 20 June 2010 at Colombo, and it was also filmed in Mumbai and Bangkok. The first look of the film was unveiled on 5 April 2011, and the theatrical trailer premiered on 15 April 2011. Made on an approximate budget of , ""Ready"" opened with a positive response on 3 June 2011, and it went on to gross worldwide, becoming one of the highest-grossing Indian films. The domestic nett of the film at made it the second highest-grossing Bollywood film of 2011 in India, and Asin's highest-grossing release ever. A sequel was unofficially announced in July 2018, and it has been confirmed that Asin will not be seen in that.
Gammat Jammat( Devnagari: गम्मत जम्मत) is a 1987 comedy Marathi film, directed by Sachin, released in India in 1987. This movie is famous for the song"" Ashwini Ye Na"", sung by legendary Bollywood singer- actor Kishore Kumar and for the large- screen debut of actress Varsha Usgaonkar.
Answer: [/INST]  Based on the information provided in the context, the answer to the question ""Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?"" is:

No, the directors of the two films do not come from the same country.

Anees Bazmee is the director of Ready, which is an Indian film directed in India. On the other hand, Sachin is the director of Gammat Jammat, which is a Marathi film directed in India. Therefore, the directors of the two films come from different countries, as India is the country where both films were produced and directed.",True,"Gammat Jammat( Devnagari: गम्मत जम्मत) is a 1987 comedy Marathi film, directed by Sachin, released in India in 1987. This movie is famous for the song"" Ashwini Ye Na"", sung by legendary Bollywood singer- actor Kishore Kumar and for the large- screen debut of actress Varsha Usgaonkar.
Ready is an Indian 2011 Hindi-language action comedy film directed by Anees Bazmee. It stars Salman Khan and Asin, with Paresh Rawal, Mahesh Manjrekar, Arya Babbar, Sharat Saxena, Nikitin Dheer, Manoj Joshi, Manoj Pahwa among others playing supporting roles. Ajay Devgn, Zareen Khan, Sanjay Dutt, Arbaaz Khan, Chunky Pandey and Kangana Ranaut make cameo appearances in the film. The film is an adaptation of the 2008 film made with the same name and was narrated by Salman Khan. Principal photography of ""Ready"" began on 20 June 2010 at Colombo, and it was also filmed in Mumbai and Bangkok. The first look of the film was unveiled on 5 April 2011, and the theatrical trailer premiered on 15 April 2011. Made on an approximate budget of , ""Ready"" opened with a positive response on 3 June 2011, and it went on to gross worldwide, becoming one of the highest-grossing Indian films. The domestic nett of the film at made it the second highest-grossing Bollywood film of 2011 in India, and Asin's highest-grossing release ever. A sequel was unofficially announced in July 2018, and it has been confirmed that Asin will not be seen in that.",
"What is the date of birth of Archduke Karl Pius Of Austria, Prince Of Tuscany's mother?",7 September 1868,,False,"Archduke Karl Pius of Austria, Prince Royal of Hungary and Bohemia, Prince of Tuscany (4 December 1909 – 24 December 1953), called ""Carlos Pío de Habsburgo-Lorena y de Borbón"" in Spain, was a member of the Tuscan branch of the Imperial House of Habsburg and a Carlist claimant to the throne of Spain under the assumed name of ""Carlos VIII"". He was the tenth and youngest child of Archduke Leopold Salvator, Prince of Tuscany and Infanta Blanca of Spain.
Archduke Karl Pius of Austria, Prince Royal of Hungary and Bohemia, Prince of Tuscany( 4 December 1909 – 24 December 1953), called"" Carlos Pío de Habsburgo- Lorena y de Borbón"" in Spain, was a member of the Tuscan branch of the Imperial House of Habsburg and a Carlist claimant to the throne of Spain under the assumed name of"" Carlos VIII"". He was the tenth and youngest child of Archduke Leopold Salvator, Prince of Tuscany and Infanta Blanca of Spain.",
"Are the movies Seeing Red (1992 Film) and Wind From The Icy Country, from the same country?",yes,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Are the movies Seeing Red (1992 Film) and Wind From The Icy Country, from the same country?
Context: Seeing Red is a 1992 Australian film directed by Virginia Rouse and starring Zoe Carides, Anne- Louise Lambert, Peta Toppano and David Wenham.
Seeing Red is a 1983 American documentary film directed by Jim Klein and Julia Reichert. It was nominated for an Academy Award for Best Documentary Feature.
Answer: [/INST]  Based on the information provided in the context, the answer to the question is:

No, the movies ""Seeing Red"" (1992 Film) and ""Wind From The Icy Country"" are not from the same country.

""Seeing Red"" is an Australian film directed by Virginia Rouse and starring Zoe Carides, Anne-Louise Lambert, Peta Toppano, and David Wenham, released in 1992.

On the other hand, ""Wind from the Icy Country"" is an American documentary film directed by Jim Klein and Julia Reichert, released in 1983. It was nominated for an Academy Award for Best Documentary Feature.",True,"Seeing Red is a 1992 Australian film directed by Virginia Rouse and starring Zoe Carides, Anne- Louise Lambert, Peta Toppano and David Wenham.
Seeing Red is a 1983 American documentary film directed by Jim Klein and Julia Reichert. It was nominated for an Academy Award for Best Documentary Feature.",
Who is the father-in-law of Tsandzile Ndwandwe?,Ndvungunye,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Who is the father-in-law of Tsandzile Ndwandwe?
Context: Tsandzile Ndwandwe, also known as LaZidze( daughter of Zidze), was an"" Ndlovukati"" or senior queen of Swaziland from July 1868 until June 1875. She was the daughter of Zwide kaLanga, the senior wife of Sobhuza I of Swaziland, and the mother of Mswati II of Swaziland.
Tsandzile Ndwandwe, also known as LaZidze (daughter of Zidze), was an ""Ndlovukati"" or senior queen of Swaziland from July 1868 until June 1875. She was the daughter of Zwide kaLanga, the senior wife of Sobhuza I of Swaziland, and the mother of Mswati II of Swaziland.
Answer: [/INST]  Based on the information provided in the context, the father-in-law of Tsandzile Ndwandwe is Sobhuza I of Swaziland, the senior wife of Zwide kaLanga and the father of Mswati II of Swaziland.

Therefore, the final answer is: Sobhuza I of Swaziland.",False,"Tsandzile Ndwandwe, also known as LaZidze (daughter of Zidze), was an ""Ndlovukati"" or senior queen of Swaziland from July 1868 until June 1875. She was the daughter of Zwide kaLanga, the senior wife of Sobhuza I of Swaziland, and the mother of Mswati II of Swaziland.
Tsandzile Ndwandwe, also known as LaZidze( daughter of Zidze), was an"" Ndlovukati"" or senior queen of Swaziland from July 1868 until June 1875. She was the daughter of Zwide kaLanga, the senior wife of Sobhuza I of Swaziland, and the mother of Mswati II of Swaziland.",
"What is the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother?",25 July 1182,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: What is the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother?
Context: Matilda of Boulogne ( 1170 – 16 October 1210) was the younger daughter of Matthew, Count of Boulogne and Marie I, Countess of Boulogne. Matilda became Duchess of Brabant by her marriage to Henry I, Duke of Brabant. Matilda's parents' marriage was annulled the year she was born and her mother became a Benedictine nun at St. Austrebert, Montreuil and died in 1182. Matilde's father continued to reign as Count of Boulogne until his death in 1173, when her older sister Ida became countess. At the age of nine, Matilda married Henry I, Duke of Brabant, in 1179. The couple went on to have: Matilde died in 1210 or 1211. She was buried at St. Peter's in Leuven.
Matilda of Boulogne (1170 – 16 October 1210) was the younger daughter of Matthew, Count of Boulogne and Marie I, Countess of Boulogne. Matilda became Duchess of Brabant by her marriage to Henry I, Duke of Brabant. Matilda's parents' marriage was annulled the year she was born and her mother became a Benedictine nun at St. Austrebert, Montreuil and died in 1182. Matilde's father continued to reign as Count of Boulogne until his death in 1173, when her older sister Ida became countess. At the age of nine, Matilda married Henry I, Duke of Brabant, in 1179. The couple went on to have: Matilde died in 1210 or 1211. She was buried at St. Peter's in Leuven.
Answer: [/INST]  Based on the information provided in the context, the date of death of Matilda Of Boulogne, Duchess Of Brabant's mother is:

1182

According to the context, Matilda's mother became a Benedictine nun at St. Austrebert, Montreuil and died in 1182.",False,"Matilda of Boulogne ( 1170 – 16 October 1210) was the younger daughter of Matthew, Count of Boulogne and Marie I, Countess of Boulogne. Matilda became Duchess of Brabant by her marriage to Henry I, Duke of Brabant. Matilda's parents' marriage was annulled the year she was born and her mother became a Benedictine nun at St. Austrebert, Montreuil and died in 1182. Matilde's father continued to reign as Count of Boulogne until his death in 1173, when her older sister Ida became countess. At the age of nine, Matilda married Henry I, Duke of Brabant, in 1179. The couple went on to have: Matilde died in 1210 or 1211. She was buried at St. Peter's in Leuven.
Matilda of Boulogne (1170 – 16 October 1210) was the younger daughter of Matthew, Count of Boulogne and Marie I, Countess of Boulogne. Matilda became Duchess of Brabant by her marriage to Henry I, Duke of Brabant. Matilda's parents' marriage was annulled the year she was born and her mother became a Benedictine nun at St. Austrebert, Montreuil and died in 1182. Matilde's father continued to reign as Count of Boulogne until his death in 1173, when her older sister Ida became countess. At the age of nine, Matilda married Henry I, Duke of Brabant, in 1179. The couple went on to have: Matilde died in 1210 or 1211. She was buried at St. Peter's in Leuven.",
What is the place of birth of the director of film The Fj Holden?,"Sydney, Australia","Michael Thornhill was born in New South Wales, Australia.",False,"The FJ Holden is a 1977 Australian film directed by Michael Thornhill. "" The FJ Holden"" is a snapshot of the life of young teenage men in Bankstown, New South Wales, Australia in the 1970s and deals with the characters' difficulty in reconciling mateship with respect for a girlfriend. Debi Enker in"" Australian Cinema"" comments: The FJ Holden"" presents the suburbs as a cultural and spiritual desert. It is a place where regular bouts with the bottle are the only antidote for lives without hope or direction."" The film initially received a R classification from the Australian Film Board of Review, but after an appeal to the censors it was revised to a M classification for moderate sex scenes and moderate coarse language. However, all states except Victoria and New South Wales exercised their right to override the Commonwealth decision and retained the R classification.
The FJ Holden is a 1977 Australian film directed by Michael Thornhill. "" The FJ Holden"" is a snapshot of the life of young teenage men in Bankstown, New South Wales, Australia in the 1970s and deals with the characters' difficulty in reconciling mateship with respect for a girlfriend. Debi Enker in ""Australian Cinema"" comments: The FJ Holden"" presents the suburbs as a cultural and spiritual desert. It is a place where regular bouts with the bottle are the only antidote for lives without hope or direction."" The film initially received a R classification from the Australian Film Board of Review, but after an appeal to the censors it was revised to a M classification for moderate sex scenes and moderate coarse language. However, all states except Victoria and New South Wales exercised their right to override the Commonwealth decision and retained the R classification.",
Where was the place of death of the director of film Kathputli (1971 Film)?,Bombay,"Mumbai, India",False,"Kathputli  is a 1971 Hindi-language romance film, produced and directed by Brij under the Dynamo International banner. It stars Jeetendra, Mumtaz in the lead roles and music composed by Kalyanji Anandji.
Kathputli is a 1971 Hindi- language romance film, produced and directed by Brij under the Dynamo International banner. It stars Jeetendra, Mumtaz in the lead roles and music composed by Kalyanji Anandji.",
"Where was the place of burial of Ælfgar, Earl Of Mercia's mother?",Coventry,,False,"Ælfgar (died c. 1060) was the son of Leofric, Earl of Mercia, by his famous mother Godgifu (Lady Godiva). He succeeded to his father's title and responsibilities on the latter's death in 1057. He gained the additional title of Earl of East Anglia, but also was exiled for a time. Through the first marriage of his daughter he would become father-in-law of the Welsh king Gruffydd ap Llywelyn; a few years after his death, his daughter would become a widow and marry English King Harold.
Leofric (died 31 August or 30 September 1057) was an Earl of Mercia. He founded monasteries at Coventry and Much Wenlock. Leofric is most remembered as the husband of Lady Godiva.",
Where did the director of film Até Que A Sorte Nos Separe 2 study?,University of California,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Where did the director of film Até Que A Sorte Nos Separe 2 study?
Context: "" Até que a Sorte nos Separe""( English:"" Till Luck Do Us Part"") is a 2012 Brazilian comedy film directed by Roberto Santucci and starring Leandro Hassum and Danielle Winits. The film is inspired by the best selling book"" Casais Inteligentes Enriquecem Juntos"" by Gustavo Cerbasi. Its sequel,"" Até que a Sorte nos Separe 2"", was released in Brazilian theaters on 27 December 2013. The film received generally negative reviews, with critics pointing out the acting, the lack of originality and forced humor.
Até que a Sorte nos Separe 2 (English: "" Till Luck Do Us Part 2"") is a 2013 Brazilian comedy film directed by Roberto Santucci and written by Paulo Cursino and Chico Soares. It is a sequel of the 2012 film ""Até que a Sorte nos Separe"". Leandro Hassum who had played the protagonist in the previous film, back to reprise his role, while Danielle Winits who had played Jane in the previous film, was replaced by Camila Morgado. The film features a special participation of American actor Jerry Lewis.
Answer: [/INST]  Based on the information provided in the context, the director of the film ""Até Que A Sorte Nos Separe 2"" is Roberto Santucci.",False,"Até que a Sorte nos Separe 2 (English: "" Till Luck Do Us Part 2"") is a 2013 Brazilian comedy film directed by Roberto Santucci and written by Paulo Cursino and Chico Soares. It is a sequel of the 2012 film ""Até que a Sorte nos Separe"". Leandro Hassum who had played the protagonist in the previous film, back to reprise his role, while Danielle Winits who had played Jane in the previous film, was replaced by Camila Morgado. The film features a special participation of American actor Jerry Lewis.
"" Até que a Sorte nos Separe""( English:"" Till Luck Do Us Part"") is a 2012 Brazilian comedy film directed by Roberto Santucci and starring Leandro Hassum and Danielle Winits. The film is inspired by the best selling book"" Casais Inteligentes Enriquecem Juntos"" by Gustavo Cerbasi. Its sequel,"" Até que a Sorte nos Separe 2"", was released in Brazilian theaters on 27 December 2013. The film received generally negative reviews, with critics pointing out the acting, the lack of originality and forced humor.",
"What nationality is Henry De Beaumont, 5Th Earl Of Warwick's father?",England,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: What nationality is Henry De Beaumont, 5Th Earl Of Warwick's father?
Context: Henry de Beaumont, 5th Earl of Warwick (c. 1192 – 10 October 1229), Earl of Warwick, and by marriage Lord of Hocknorton (Hook Norton) and Hedenton (Headington) in Oxfordshire, was the son of Waleran de Beaumont, 4th Earl of Warwick and Margaret. He was also known as Henry de Newburgh.
Henry de Beaumont, 5th Earl of Warwick( c. 1192 – 10 October 1229), Earl of Warwick, and by marriage Lord of Hocknorton( Hook Norton) and Hedenton( Headington) in Oxfordshire, was the son of Waleran de Beaumont, 4th Earl of Warwick and Margaret. He was also known as Henry de Newburgh.
Answer: [/INST]  Based on the information provided in the context, Henry De Beaumont, 5th Earl of Warwick's father's nationality is English.",False,"Henry de Beaumont, 5th Earl of Warwick (c. 1192 – 10 October 1229), Earl of Warwick, and by marriage Lord of Hocknorton (Hook Norton) and Hedenton (Headington) in Oxfordshire, was the son of Waleran de Beaumont, 4th Earl of Warwick and Margaret. He was also known as Henry de Newburgh.
Henry de Beaumont, 5th Earl of Warwick( c. 1192 – 10 October 1229), Earl of Warwick, and by marriage Lord of Hocknorton( Hook Norton) and Hedenton( Headington) in Oxfordshire, was the son of Waleran de Beaumont, 4th Earl of Warwick and Margaret. He was also known as Henry de Newburgh.",
"Which country François Louis, Prince Of Conti's father is from?",French,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which country François Louis, Prince Of Conti's father is from?
Context: Louis François Joseph de Bourbon or Louis François II, Prince of Conti( 1 September 1734 – 13 March 1814), was the last Prince of Conti, scion of a cadet branch of the House of Bourbon, whose senior branches ruled France until 1848. His title was honorary and did not carry any territorial jurisdiction.
François Louis de Bourbon, le Grand Conti( 30 April 1664 – 9 February 1709), was Prince de Conti, succeeding his brother, Louis Armand de Bourbon, in 1685. Until this date, he used the title of Prince of La Roche- sur- Yon. He was son of Armand de Bourbon, Prince of Conti and Anne Marie Martinozzi, daughter of Girolamo Martinozzi and niece of Cardinal Mazarin, through her mother. He was proclaimed as the King of Poland in 1697. He is the most famous member of the Conti family, a cadet branch of the Princes of Condé. As a member of the reigning House of Bourbon, he was a"" prince du sang.""
Answer: [/INST]  Based on the information provided in the context, François Louis, Prince Of Conti's father is Armand de Bourbon, Prince of Conti.",False,"Louis François Joseph de Bourbon or Louis François II, Prince of Conti( 1 September 1734 – 13 March 1814), was the last Prince of Conti, scion of a cadet branch of the House of Bourbon, whose senior branches ruled France until 1848. His title was honorary and did not carry any territorial jurisdiction.
François Louis de Bourbon, le Grand Conti( 30 April 1664 – 9 February 1709), was Prince de Conti, succeeding his brother, Louis Armand de Bourbon, in 1685. Until this date, he used the title of Prince of La Roche- sur- Yon. He was son of Armand de Bourbon, Prince of Conti and Anne Marie Martinozzi, daughter of Girolamo Martinozzi and niece of Cardinal Mazarin, through her mother. He was proclaimed as the King of Poland in 1697. He is the most famous member of the Conti family, a cadet branch of the Princes of Condé. As a member of the reigning House of Bourbon, he was a"" prince du sang.""",
What is the place of birth of the director of film The Naked Island?,Hiroshima,Kaneto Shindō (Japan),False,"The Naked Island  is a black-and-white film from 1960, directed by Kaneto Shindō. The film is notable for having almost no spoken dialogue.
Ian Barry is an Australian director of film and TV.",
"Which film came out first, Poznań '56 or The Last Day Of School Before Christmas?",The Last Day Of School Before Christmas,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Which film came out first, Poznań '56 or The Last Day Of School Before Christmas?
Context: The Last Day of School Before Christmas is a 1975 drama film written and directed by Gian Vittorio Baldi. It was screened at the 1975 Cannes Film Festival in the Directors' Fortnight section.
Poznań'56 is a Polish historical film about the Poznań 1956 protests. It was released in 1996.
Answer: [/INST]  Based on the information provided in the context, the film ""The Last Day of School Before Christmas"" was released before ""Poznań'56"".

The Last Day of School Before Christmas was released in 1975, while Poznań'56 was released in 1996, 21 years after the release of The Last Day of School Before Christmas.

Therefore, the final answer is:

The Last Day of School Before Christmas (1975)",True,"Poznań'56 is a Polish historical film about the Poznań 1956 protests. It was released in 1996.
The Last Day of School Before Christmas is a 1975 drama film written and directed by Gian Vittorio Baldi. It was screened at the 1975 Cannes Film Festival in the Directors' Fortnight section.",
Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?,Franz Joseph I,"[/INST] Yes I will reason and generate the answer </s><s>[INST] Question: Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?
Context: Prince Franz de Paula of Liechtenstein ("" Franz de Paula Joachim Joseph"") (Vienna, 25 February 1802 – Vienna, 31 March 1887) was a son of Johann I Joseph, Prince of Liechtenstein (1760-1836) and wife Landgravine Josepha of Fürstenberg-Weitra, nephew of Aloys I, brother of Aloys II and uncle of Johann II and Franz I.
Prince Franz de Paula of Liechtenstein("" Franz de Paula Joachim Joseph"") ( Vienna, 25 February 1802 – Vienna, 31 March 1887) was a son of Johann I Joseph, Prince of Liechtenstein( 1760- 1836) and wife Landgravine Josepha of Fürstenberg- Weitra, nephew of Aloys I, brother of Aloys II and uncle of Johann II and Franz I.
Answer: [/INST]  Based on the information provided in the context, Prince Franz de Paula of Liechtenstein's paternal grandfather is Johann I Joseph, Prince of Liechtenstein (1760-1836).",False,"Prince Franz de Paula of Liechtenstein("" Franz de Paula Joachim Joseph"") ( Vienna, 25 February 1802 – Vienna, 31 March 1887) was a son of Johann I Joseph, Prince of Liechtenstein( 1760- 1836) and wife Landgravine Josepha of Fürstenberg- Weitra, nephew of Aloys I, brother of Aloys II and uncle of Johann II and Franz I.
Prince Franz de Paula of Liechtenstein ("" Franz de Paula Joachim Joseph"") (Vienna, 25 February 1802 – Vienna, 31 March 1887) was a son of Johann I Joseph, Prince of Liechtenstein (1760-1836) and wife Landgravine Josepha of Fürstenberg-Weitra, nephew of Aloys I, brother of Aloys II and uncle of Johann II and Franz I.",
